RESUMO DOS RESULTADOS;;;;;;;;
;;;;;;;;
Estatística de regressão;;;;;;;;
R múltiplo;0,810222469;;;;;;;
R-Quadrado;0,656460449;;;;;;;
R-quadrado ajustado;0,656306476;;;;;;;
Erro padrão;0,375670751;;;;;;;
Observações;13394;;;;;;;
;;;;;;;;
ANOVA;;;;;;;;
;gl;SQ;MQ;F;F de significação;;;
Regressão;6;3610,18826;601,6980433;4263,476113;0;;;
Resíduo;13387;1889,287401;0,141128513;;;;;
Total;13393;5499,475661;;;;;;
;;;;;;;;
;Coeficientes;Erro padrão;Stat t;valor-P;95% inferiores;95% superiores;Inferior 95,0%;Superior 95,0%
Interseção;9,859622356;0,003430022;2874,506619;0,00%;9,852899028;9,866345685;9,852899028;9,866345685
Flag Atraso Cliente5_soma;-0,062604937;0,007846827;-7,978376596;0,00%;-0,077985825;-0,047224049;-0,077985825;-0,047224049
[FLAG] Pratica_indevida_soma;-5,757122673;0,08896077;-64,71529748;0,00%;-5,931498343;-5,582747002;-5,931498343;-5,582747002
[FLAG] Sac_pos_entrega_soma;-0,435730615;0,028011245;-15,55556017;0,00%;-0,490636611;-0,380824618;-0,490636611;-0,380824618
[FLAG] Reversa_soma;-3,256336459;0,047674276;-68,30384745;0,00%;-3,349784772;-3,162888147;-3,349784772;-3,162888147
[FLAG] Recompra_soma;-1,925591311;0,0252804;-76,1693359;0,00%;-1,975144465;-1,876038156;-1,975144465;-1,876038156
[FLAG] Insucesso_soma;-0,018849438;0,009593672;-1,964778317;4,95%;-0,037654389;-4,44869E-05;-0,037654389;-4,44869E-05
;;;;;;;;
;;;;;;;;
;;;;;;;;
RESULTADOS DE RESÍDUOS;;;;;;;;
;;;;;;;;
196;9,859622356;0,140377644;0,373755738;;;;;
197;9,859622356;0,140377644;0,373755738;;;;;
198;9,859622356;0,140377644;0,373755738;;;;;
199;9,859622356;0,140377644;0,373755738;;;;;
200;9,859622356;0,140377644;0,373755738;;;;;
201;9,859622356;0,140377644;0,373755738;;;;;
202;9,859622356;0,140377644;0,373755738;;;;;
203;9,859622356;0,140377644;0,373755738;;;;;
204;9,859622356;0,140377644;0,373755738;;;;;
205;9,859622356;0,140377644;0,373755738;;;;;
206;9,859622356;0,140377644;0,373755738;;;;;
207;9,859622356;0,140377644;0,373755738;;;;;
208;9,859622356;0,140377644;0,373755738;;;;;
209;9,859622356;0,140377644;0,373755738;;;;;
210;9,859622356;0,140377644;0,373755738;;;;;
211;9,859622356;0,140377644;0,373755738;;;;;
212;9,859622356;0,140377644;0,373755738;;;;;
213;9,859622356;0,140377644;0,373755738;;;;;
214;9,859622356;0,140377644;0,373755738;;;;;
215;9,859622356;0,140377644;0,373755738;;;;;
216;9,859622356;0,140377644;0,373755738;;;;;
217;9,859622356;0,140377644;0,373755738;;;;;
218;9,859622356;0,140377644;0,373755738;;;;;
219;9,859622356;0,140377644;0,373755738;;;;;
220;9,859622356;0,140377644;0,373755738;;;;;
221;9,859622356;0,140377644;0,373755738;;;;;
222;9,859622356;0,140377644;0,373755738;;;;;
223;9,859622356;0,140377644;0,373755738;;;;;
224;9,859622356;0,140377644;0,373755738;;;;;
225;9,859622356;0,140377644;0,373755738;;;;;
226;9,859622356;0,140377644;0,373755738;;;;;
227;9,859622356;0,140377644;0,373755738;;;;;
228;9,859622356;0,140377644;0,373755738;;;;;
229;9,859622356;0,140377644;0,373755738;;;;;
230;9,859622356;0,140377644;0,373755738;;;;;
231;9,859622356;0,140377644;0,373755738;;;;;
232;9,859622356;0,140377644;0,373755738;;;;;
233;9,859622356;0,140377644;0,373755738;;;;;
234;9,859622356;0,140377644;0,373755738;;;;;
235;9,859622356;0,140377644;0,373755738;;;;;
236;9,859622356;0,140377644;0,373755738;;;;;
237;9,859622356;0,140377644;0,373755738;;;;;
238;9,859622356;0,140377644;0,373755738;;;;;
239;9,859622356;0,140377644;0,373755738;;;;;
240;9,859622356;0,140377644;0,373755738;;;;;
241;9,859622356;0,140377644;0,373755738;;;;;
242;9,859622356;0,140377644;0,373755738;;;;;
243;9,859622356;0,140377644;0,373755738;;;;;
